,English,Gaeilge
0,The papers and the machine are sitting there.,Tá na páipéir agus an mheaisín ina suí.
1,It's cold in winter.,Bíonn sé fuar sa Gheimhreadh.
2,I am looking for a new job.,Tá mé ag lorg post nua.
3,That song was on the radio yesterday.,Bhí an t-amhrán sin ar an raidió inné.
4,The water is coming down the wall.,Tá an t-uisce ag teacht ar an mballa.
5,He's in luck.,Tá an t-ádh dearg leis.
6,They are cleaning the rooms.,Tá siad ag glanadh na seomraí.
7,That book is very interesting.,Tá an leabhar sin an-suimiúil.
8,He's trying to do better.,Tá sé ag iarraidh iarracht níos fearr a dhéanamh.
9,Everyone is waiting for this series.,Tá na daoine go léir ag fanacht leis an tsraith seo.
10,The first impression is important.,Tá an chéad fhéachaint tábhachtach.
11,There's no one else in the room.,Níl aon duine eile sa seomra.
12,They are working hard.,Tá siad ag obair go dian.
13,They are looking forward to going out at the weekend.,Tá siad ag súil le dul amach ar an deireadh seachtaine.
14,It's a long journey.,Is fada an turas é.
15,The house is too crowded.,Tá an teach róthapaí.
16,The house is at the table.,Tá an teach ag an mbord.
17,The Olympic games are taking place this year.,Tá na cluichí olympacha ar siúl i mbliana.
18,I love that food.,Is aoibhinn liom an bia sin.
19,It's not easy for him to be comfortable.,Níl sé deacair a bheith compordach leis.
20,We're in luck.,Tá an t-ádh linn.
21,This house is too crowded.,Tá an teach seo róthapaí.
22,It's okay.,Tá sé go maith.
23,The goal is to achieve it.,Tá an sprioc ann a bhaint amach.
24,It's approaching the deadline.,Tá sé ag druidim leis an gcinniúint.
25,All these places are very interesting.,Tá na háiteanna seo ar fad an-suimiúil.
26,The water is dry.,Tá an t-uisce tirim.
27,It's cold today.,Tá sé fuar inniu.
28,It's difficult to improve that.,Tá sé deacair an rud sin a dheisiú.
29,That's what happened.,Is é sin an rud a tharla.
30,That work is done.,Tá an obair sin réidh.
31,It's hard to understand.,Tá sé deacair a thuiscint.
32,The length is there.,Tá an fhaid ann.
33,The TV is broken.,Tá an teilifís briste.
34,This road is boring.,Tá an bhóthar seo leadránach.
35,The climate is warm.,Tá an t-aeráid te.
36,The leaves are falling.,Tá na duilleoga ag titim.
37,The room is dark.,Tá an seomra dorcha.
38,The market is going downhill.,Tá an mhargadh ag dul i léig.
39,The other part of the cinema is closed.,Tá an chuid eile den phictiúrlann dúnta.
40,This place is secret.,Tá an áit seo rúnda.
41,That question is just coming to me.,Tá an cheist sin díreach ag teacht chugam.
42,That search is hard.,Tá an cuardach sin crua.
43,He's lucky.)Tá an ghrian ag taitneamh inniu,Tá an t-ádh leis.
44,I love concerts.,Is breá liom ceolchoirmeacha.
45,It's wonderful that you're here.,Tá sé go hiontach go bhfuil tú anseo.
46,I'm not sure about that.,Níl mé cinnte faoi sin.
47,Do you like to dance?,An maith leat damhsa?
48,I love tea.,Is breá liom tae.
49,It's cold today.,Tá an aimsir fuar inniu.
50,I am learning Irish.,Tá mé ag foghlaim Gaeilge.
51,We are looking forward to the weekend.,Táimid ag tnúth leis an deireadh seachtaine.
52,Where do you live?,Cá bhfuil tú i do chónaí?
53,I ate my dinner.,D'ith mé mo dhinnéar.
54,He spoke smoothly with me.,Labhair sé go réidh liom.
55,They took care of the house.,Thug siad aire don teach.
56,I wrote a letter to my friend.,Scríobh mé litir chuig mo chara.
57,I dressed up for the occasion.,Ghléas mé suas don ócáid.
58,I hurried to catch the bus.,Rinne mé deifir chun an bus a fháil.
59,He was listening to music.,Bhí sé ag éisteacht le ceol.
60,I saw the movie last night.,Chonaic mé an scannán aréir.
61,They expressed their opinion about the story.,Dúirt siad a n-ionchúis faoin scéal.
62,He left the room behind him.,D'fhág sé an seomra ina diaidh.
63,I bought something in the shop.,Cheannaigh mé rud éigin sa siopa.
64,They went out for a walk in the garden.,Chuaigh siad amach ag siúl sa ghairdín.
65,They took the boxes out of the bathroom.,Thóg siad na boscaí amach ón seomra folctha.
66,I called my brother.,Chuir mé glaoch ar mo dheartháir.
67,They left a message for me at my address.,D'fhág siad teachtaireacht dom ar mo sheoladh.
68,I enjoyed the lecture yesterday.,Bhain mé taitneamh as an léacht inné.
69,She was walking on the way home.,Bhí sí ag siúl ar an mbealach abhaile.
70,They asked me a question about my studies.,Chuir siad ceist orm faoi mo chuid staidéir.
71,He took a glass of water and drank it.,Thóg sé gloine uisce agus d'ól sé é.
72,They took part in the competition.,Ghlac siad páirt sa chomórtas.
73,They came back late from the shop.,Tháinig siad ar ais go mall ón siopa.
74,He visited his friends.,Chuaigh sé ar cuairt chuig a chairde.
75,They went to the cinema.,Chuaigh siad go dtí an phictiúrlann.
76,He bought a new trash can.,Cheannaigh sé bosca bruscair nua.
77,I was playing football with my friends.,Bhí mé ag imirt peile le mo chairde.
78,I presented that story to the principal.,Chuir mé an scéal sin faoi bhráid an phríomhoide.
79,They decided to visit England.,Bheartaigh siad dul ar cuairt go Sasana.
80,The music was beautiful.,Bhí an cheol go hálainn.
81,I learned that song in music class.,D'fhoghlaim mé an amhrán sin i rang ceoil.
82,He thought the dinner was tasty.,Shíl sé go raibh an dinnéar blasta.
83,The scholarship material fell out of the manuscript.,Thit an t-ábhar scoláireachta amach as an lámhscríbhinn.
84,He said they were just discussing that story.,Dúirt sé go raibh an scéal sin díreach á phlé acu.
85,I listened to the TV series all night.,D'éist mé leis an tsraith teilifíse ar feadh na hoíche.
86,He wrote a piece out of the poem.,Scríobh sé píosa amach de chuid an dáin.
87,I could come to the céilí tonight.,D'fhéadfainn teacht go dtí an gcéilí anocht.
88,We could go to the cinema tomorrow.,D'fhéadfaimis dul go dtí an phictiúrlann amárach.
89,They took a photograph of the games.,Thóg siad grianghraf de na cluichí.
90,They ate the fish at the restaurant.,D'ith siad an t-iasc ag an bialann.
91,I bought a new glass for my room.,Cheannaigh mé gloine nua do mo sheomra.
92,They played games together on the livestream.,D'imir siad cluichí le chéile ar an bhfíseánchraoladh.
93,The weather was bad yesterday.,Bhí an aimsir go dona inné.
94,I am going to the shop.,Tá mé ag dul go dtí an siopa.
95,I drank a cup of tea with my friend.,D'ól mé cupán tae le mo chara.
96,They put the letter in the mailbox.,Chuir siad an litir san bosca poist.
97,They got new jobs.,Fuair siad obair nua.
98,I heard a wonderful story about that trip.,Chuala mé scéal iontach faoin turas sin.
99,The game started at eight o'clock.,Thosaigh an cluiche ag a hocht a chlog.
100,They ate a big meal at night.,D'ith siad béile mór san oíche.
101,The sun was splitting the rocks.,Bhí an ghrian ag scoilteadh na gcloch.
102,The train went to Mallorca.,Chuaigh an traenach go Mallorca.
103,That book was beautiful.,Bhí an leabhar sin go hálainn.
104,I learned how important music is to people.,D'fhoghlaim mé cé chomh tábhachtach is atá suim ag daoine i gceol.
105,That person fell to their knees on the road.,Thit an duine sin ar a ghlúiní ar an mbóthar.
106,I asked them about the top quality.,D'fhiafraigh mé díobh faoin gcéad scoth.
107,The melody was going on forever.,Bhí an fonn ceoil ag dul ar aghaidh go buan.
108,The children went back to school today.,Chuaigh na páistí ar ais ar scoil inniu.
109,The boy had a new face expression.,Bhí an t-éadan úr ag an mbuachaill.
110,They said they had the conversation for a while.,Dúirt siad go raibh an chaint acu le himeacht ama.
111,I listened to the movie for two hours.,D'éist mé leis an scannán ar feadh dhá uair an chloig.
112,They opened the door for their father.,D'oscail siad an doras don athair.
113,The sea broke through the rocks.,Bhris an fharraige trí na cróga.
114,I went on a trip to the cinema with my family.,Rinne mé turas go dtí an phictiúrlann le mo chlann.
115,They reached the corner of the town.,Shroich siad an chúinne den bhaile.
116,They left the house at seven o'clock.,D'fhág siad an teach ar a seacht a chlog.
117,I bought a new piece of clothing today.,Cheannaigh mé píosa éadaigh nua inniu.
118,I heard a loud noise in the sea.,Chuala mé torann mór san fharraige.
119,I learned how to install a piece of software on the computer.,D'fhoghlaim mé conas píosa bogearraí a shuíomh ar an ríomhaire.
120,I visited my friend yesterday.,Thug mé cuairt ar mo chara inné.
121,The clock struck me while I was walking.,Bhuail sé an clog orm agus mé ag siúl.
122,He emphasized doing the right thing.,Chuir sé béim ar an rud ceart a dhéanamh.
123,The food was nice and tasty.,Bhí an bia go deas agus blasta.
124,I listened to a beautiful song on the radio.,D'éist mé le hamhrán álainn ar an raidió.
125,Autumn was coming and the leaves were falling.,Bhí an fómhar ag teacht agus bhí na duilleoga ag titim.
126,I asked them why they are in their heritage.,D'fhiafraigh mé díobh cén fáth a bhfuil siad ina n-oidhreacht.
127,The house was full of people at the party.,Bhí an teach lán le daoine ag an gcóisir.
128,I ate a sandwich and a cup of tea.,D'ith mé ceapaire agus cupán tae.
129,He went to school on the tram.,Chuaigh sé ar scoil ar an luas.
130,She wore new shoes.,Chuir sí ar bróga nua.
131,The night was dark and the sky was cloudy.,Bhí an oíche dorcha agus an spéir líneach.
132,The waves rose high in the sea.,Thit na tonnta go hard san fharraige.
133,They sent an email to the team.,Sheol siad ríomhphost chuig an bhfoireann.
134,I bought a cake for the party.,Cheannaigh mé císte don chóisir.
135,They completed the work last week.,Chuir siad an obair i gcrích sna laethanta seo caite.
136,The boy broke the toy with the other child.,Bhris an gasúr an bhuilleóige leis an bpáiste eile.
137,The weather was lovely last night.,Bhí an aimsir go hálainn aréir.
138,The race was completely over after a few seconds.,Bhí an rás go hiomlán tar éis cúpla soicind.
139,I made a nice outfit for the occasion.,Rinne mé feisteas breá don ócáid.
140,I saw that movie recently.,Chonaic mé an scannán sin le déanaí.
141,I ate bread and sugar with my coffee.,D'ith mé arán agus siúcra le mo chaife.
142,The person fell on the road and died.,Thit an duine ar an mbóthar agus fuair sé bás.
143,They bought tickets for the show.,Cheannaigh siad ticéid don léiriúchán.
144,The country was clean and enjoyable.,Bhí an tír glan agus taitneamhach.
145,The book hit me.,Bhuail an leabhar isteach liom.
146,I ordered a pizza slice in the restaurant.,D'ordaigh mé píotsa píotsaí sa bhialann.
147,They went on holiday to Mallorca recently.,Chuaigh siad ar saoire go Mallorca le déanaí.
148,They gave a lecture about the history of Ireland.,Thug siad léacht faoi stair na hÉireann.
149,The air was clean and warm last night.,Bhí an t-aer glan agus teas aréir.
150,I heard interesting things about that song.,Chuala mé rudaí suimiúla faoin amhrán sin.
151,They missed the first movement.,D'fhág siad teacht ar an gcéad ghluaiseacht.
152,They broke the window during the storm.,Bhris siad an fuinneog le linn an stoirm.
153,The bathroom was dry.,Bhí an seomra folctha tirim.
154,The Minister announced that the legislation is being reduced.,D'fhógair an tAire go bhfuil an reachtaíocht á laghdú.
155,I saw him escaping from the airport and he came into the city.,Chonaic mé éalú ón aerfort agus tháinig sé isteach sa chathair.
156,I ate fish and potatoes for dinner.,D'ith mé plátáil agus prátaí don dinnéar.
157,They missed the first roundabout.,D'fhág siad teacht ar an gcéad charrchlós.
158,They went for a visit to the village last night.,Chuaigh siad ar cuairt chuig an tsráidbhaile aréir.
159,The competition was completely finished at that time.,Bhí an comórtas go hiomlán chríochnaithe ag an am sin.
160,I bought brown mushrooms for the dish.,Cheannaigh mé blúiríní donn don phláta.
161,The examiner emphasized the best part of the essay.,Chuir an scrúdaitheoir béim ar an gcuid is fearr den aiste.
162,They opened the box and got the well.,D'oscail siad an bosca agus fuair siad an tobar.
163,The fish was excellent.,Bhí an t-iascán ar fheabhas.
164,They ate spaghetti with chicken and sauce.,D'ith siad spagetti le sicín agus sailéad.
165,They broke their food load during the trouble.,Bhris siad a n-ualach bia le linn an trioblóid.
166,I ordered sweet chocolate for the new year.,D'ordaigh mé seacláid milis don bhliain úr.
167,The party was held too often.,Bhí an cóisir ar siúl i gcrích go rómhinic.
168,I did housework during the week.,Rinne mé obair tí le linn na seachtaine.
169,They went for a walk by the river.,Chuaigh siad ar siúlóid cois abhann.
170,They missed the first chance.,D'fhág siad teacht ar an gcéad seans.
171,The heritage was being preserved by the committee.,Bhí an oidhreacht á gcur in áirithe ag an gcomhchoiste.
172,They bought a boat for the tour.,Cheannaigh siad báidín le haghaidh an turais.
173,The Minister announced the decision regarding the kitchen.,D'fhógair an tAire an cinneadh maidir leis an gcistin.
174,He reached registration before the end of the day.,Shroich sé an clárú roimh dheireadh an lae.
175,I ate salt and potatoes for the meal.,D'ith mé salann agus prátaí don bhéile.
176,They started the debate about the question.,Chuir siad tús leis an díospóireacht maidir leis an gceist.
177,The Minister announced the new measure regarding the open houses.,D'fhógair an tAire an beart nua maidir leis na tithe oscailte.
178,The TV was on during the day.,Bhí an teilifís ar siúl fós le linn an lae.
179,They made a couple of the apples.,Rinne siad lánúin de na húll.
180,They took the bus without any problem.,Chuaigh siad ar an mbus gan aon fhadhb.
181,The Minister announced the new arrangements regarding the classes.,D'fhógair an tAire na socruithe nua maidir leis na ranganna.
182,I ate a sandwich and a glass of milk for breakfast.,D'ith mé ceapaire agus gloine bainne don bhricfeasta.
183,They made a new savior for the street.,Rinne siad slánaitheoir nua don tsráid.
184,They missed the first stop.,D'fhág siad an teacht ar an gcéad stad.
185,They had the upper hand at that time.,Bhí an lámh in uachtar acu ag an am sin.
186,He opened the door and got the company.,D'oscail sé an doras agus fuair sé an comhluadar.
187,They were lucky in the game.,Bhí an t-ádh dearg orthu sa chluiche.
188,I did the housework during the day.,Rinne mé an obair bhaile le linn an lae.
189,They stayed at the bank for an hour.,D'fhan siad ag an mbanc éigin uair an chloig.
190,The country was improving after the hard work.,Bhí an tír ina feabhas tar éis na hardshaothrúchán.
191,The Minister announced the economic breakdown.,D'fhógair an tAire an briseadh eacnamaíochta.
192,The Minister announced the new report regarding the health problems.,D'fhógair an tAire an tuarascáil nua maidir leis na fadhbanna sláinte.
193,The weather was lovely in the Gaeltacht yesterday.,Bhí an aimsir go hálainn sa Ghaeltacht inné.
194,They stayed in a residence for a period of time.,D'fhan siad i dteach cónaithe ar feadh tréimhse.
195,The music was always great in the hall.,Bhí an ceol go hiontach ag an gcónaí sa halla.
196,I ate an apple and a muffin for lunchtime.,D'ith mé gloine úll agus sceallóga don am lóin.
197,They discussed that question during the meeting.,Rinne siad plé ar an gceist sin le linn na cruinne.
198,The crowd was standing at the bus stop.,Bhí an slua ina seasamh ag an mbus stop.
199,They stayed on the way to the airport.,D'fhan siad ar an tslí go dtí an t-aerfort.
200,They ate soup and cake for dinner.,D'ith siad anraith agus cáca milis don dinnéar.
201,The day was sad when they found out about the deaths.,Bhí an lá go brónach nuair a fuair siad amach faoi na básanna.
202,They made a choice of the pictures.,Rinne siad rogha de na picí.
203,The Minister announced the new measure regarding the work affairs.,D'fhógair an tAire an beart nua maidir leis na gnóthaí oibre.
204,They were lucky in that game.,Bhí an t-ádh leo sa chluiche sin.
205,They ate dog and chicken for dinner.,D'ith siad madra agus sicín don dinnéar.
206,They stayed on the road until the storm passed.,D'fhan siad ar an mbóthar go dtí go dtéadh an stoirm thart.
207,They started the announcement about the conference.,Chuir siad tús leis an bhfógra maidir leis an gcomhdháil.
208,They were doing that during the week.,Bhí an rud sin á dhéanamh acu i rith na seachtaine.
209,They ate spaghetti and toast for breakfast.,D'ith siad spagetti agus tósta don bhricfeasta.
210,The Minister announced the new arrangement regarding the public services.,D'fhógair an tAire an socrú nua maidir leis na seirbhísí poiblí.
211,The rain was falling heavily in the house after that.,Bhí an bháisteach ag titim go trom sa teach ina dhiaidh sin.
212,They saw the spider coming into the house.,Chonaic siad an damhán alla ag dul isteach sa teach.
213,They were lucky in that game.,Bhí an t-ádh orthu sa chluiche sin.
214,The house was destroyed after the hurricane.,Bhí an teach scriosta tar éis an tsaoiléara.
215,They left the town after the carnival.,D'fhág siad an baile tar éis an coirpigh.
216,They tasted different flavors of tea.,D'ith siad muilte de bhlasanna difriúla don tae.
217,They had the opportunity to enjoy the fresh air.,Bhí an deis acu an t-aer amuigh a shaothrú.
218,They left the sitting room and went to the bedroom.,D'fhág siad an seomra suí agus chuaigh siad go dtí an seomra leapa.
219,The space was full during the concert.,Bhí an spás lán i rith an cheoilchoirm.
220,The Minister announced the new plan regarding the health houses.,D'fhógair an tAire an phlean nua maidir leis na tithe sláinte.
221,They visited the players' park.,Thug siad cuairt ar an pháirc imreoirí.
222,They bought a new notebook at the shop.,Cheannaigh siad cóipleabhar nua ag an siopa.
223,The weather was beautiful yesterday and the sun was splitting the stones.,Bhí an aimsir go hálainn inné agus bhí an ghrian ag scoilteadh na gcloch.
224,They discussed the latest news about the message from the Chairperson.,Rinne siad plé ar an scéala is déanaí faoin teachtaireacht ón gCathaoirleach.
225,They went back to the place where they were staying.,Chuaigh siad ar ais go dtí an áit a raibh siad ag fanacht.
226,The author spoke about his new book at the book launch.,Labhair an t-údar faoina leabhar nua ag an seoladh leabhar.
227,They learned how to sell shoes online.,D'fhoghlaim siad conas na bróga a dhíol ar líne.
228,They drank a cup of tea with milk.,D'ól siad cupán tae le heiteoga.
229,They played a soccer match during the weekend.,Chas siad cluiche sacair i rith an deireadh seachtaine.
230,They bought tickets for the music festival.,Cheannaigh siad ticéid don tsraith ama ceoil.
231,They were discussing together about the business plan for this year.,Bhí siad ag caint le chéile faoin bplean gnó don bhliain seo.
232,They left the teacher's house and went home.,D'fhág siad teach na múinteoirí agus chuaigh siad abhaile.
233,The music was wonderful at the concert last night.,Bhí an ceol go hiontach ag an cheolchoirm oíche inné.
234,They wrote a letter to the editor about their plans for the newspaper.,Scríobh siad litir chuig an eagarthóir faoina bpleananna don nuachtán.
235,They wanted to take a trip to the back of the country.,Bhí siad ag iarraidh turas a thógáil chuig an taobh thiar den tír.
236,They listened to the radio and the news was very important.,D'éist siad leis an raidió agus bhí an nuacht an-tábhachtach.
237,They watched the entire movie at the picture concert.,D'fhéach siad ar an scannán go léir ag an gceolchoirm phictiúr.
238,They were talking about the places they wanted to visit as tourists.,Bhí siad ag caint faoi na háiteanna a bhí ar thóir acu a thurasóireacht.
239,They arranged to meet at the restaurant.,Shocraigh siad coinne le chéile ag an bialann.
240,The day was beautiful and they went for a walk in the park.,Bhí an lá go hálainn agus chuaigh siad ag siúl sa pháirc.
241,They were talking about the subjects they were studying at university.,Bhí siad ag caint faoi na hábhair a bhí ar staidéar acu ar an ollscoil.
242,They were making a cake together for the party.,Bhí siad ag déanamh císte le chéile don chóisir.
243,They watched TV and there was a music program on.,D'fhéach siad ar an teilifís agus bhí clár ceoil ar siúl.
244,They were going on a trip to the lake.,Bhí siad ag dul ar turas go dtí an loch iad.
245,They were talking about the subjects they were studying at home.,Bhí siad ag caint faoi na hábhair a bhí ar staidéar acu ar an mbaile.
246,They went shopping at the clothing store.,Chuaigh siad ag siopadóireacht ag an siopa éadaí.
247,They watched TV and there was a documentary on.,D'fhéach siad ar an teilifís agus bhí clár faisnéise ar siúl.
248,They were doing sports together at the sports field.,Bhí siad ag déanamh spóirt le chéile sa pháirc imeartha.
249,They were learning new songs together.,Bhí siad ag foghlaim amhráin nua le chéile.
250,They were traveling to the city.,Bhí siad ag taisteal go dtí an gcathair.
251,They were reading books together as a couple.,Bhí siad ag léamh leabhair ar an gcúpla.
252,They were meeting other people in a restaurant.,Bhí siad ag bualadh le daoine eile i mbialann.
253,They were talking about the crops they had on the farm.,Bhí siad ag caint faoi na torthaí a bhí acu ar an bhfeirm.
254,They watched TV and there was a movie on.,D'fhéach siad ar an teilifís agus bhí clár scannánaíochta ar siúl.
255,They were making presents for the children.,Bhí siad ag déanamh bronntanais do na páistí.
256,They were playing board games together.,Bhí siad ag imirt cluichí boird le chéile.
257,They looked at the beautiful views around them.,D'fhéach siad ar na radharcanna álainn timpeall orthu.
258,They were learning Irish together.,Bhí siad ag foghlaim Gaeilge le chéile.
259,They were preparing a meal together.,Bhí siad ag ullmhú béile le chéile.
260,They were going for a walk on the health trail.,Bhí siad ag dul ag siúl ar shlí na sláinte.
261,They were meeting with the neighbors.,Bhí siad ag bualadh leis na comharsana.
262,They were talking about the stories they had going on.,Bhí siad ag caint faoi na scéalta a bhí ar siúl acu.
263,They were making art together.,Bhí siad ag déanamh ealaíne le chéile.
264,They were taking care of the house and putting it in order.,Bhí siad ag tabhairt aire don teach agus ag cur in ord é.
265,They watched TV and there was a children's program on.,D'fhéach siad ar an teilifís agus bhí clár do pháistí ar siúl.
266,They were getting ready for the trip ahead.,Bhí siad ag ullmhú don turas a bhí rompu.
267,They were reading the newspaper together.,Bhí siad ag léamh an nuachtáin le chéile.
268,They were learning music together.,Bhí siad ag foghlaim ceoil le chéile.
269,They were playing hurling together.,Bhí siad ag imirt leadóg le chéile.
270,They were protesting for rights.,Bhí siad ag déanamh agóidí le haghaidh cearta.
271,They were visiting the elements.,Bhí siad ag dul ar cuairt go dtí na heilimintí.
272,They were celebrating a birthday together.,Bhí siad ag ceiliúradh lá breithe le chéile.
273,They were talking about sports and athletics.,Bhí siad ag caint faoi spóirt agus lúthchleasanna.
274,They were learning a new game together.,Bhí siad ag foghlaim súgradh nua le chéile.
275,They were doing translation for another language.,Bhí siad ag déanamh an tsíniúcháin do theanga eile.
276,They were attending cultural events.,Bhí siad ag freastal ar imeachtaí cultúrtha.
277,They were sharing information online.,Bhí siad ag scaipeadh ábhair eolais ar líne.
278,They were learning cooking together.,Bhí siad ag foghlaim cumadóireachta le chéile.
279,She writes a letter to her friend every week.,Scríobhann sí litir chuig a cara gach seachtain.
280,He ate bread and a glass of milk for breakfast.,D'ith sé arán agus gloine bainne don bhricfeasta.
281,They took part in the competition after a long period of training.,Ghlac siad páirt sa chomórtas tar éis tréimhse fhada oiliúna.
282,They tested the new machine.,Rinne siad tástáil ar an inneal nua.
283,The children play games in the park during the summer.,Bíonn na gasúir ag imirt cluichí sa pháirc i rith an tsamhraidh.
284,They have been learning Irish for the past two months.,Bhí siad ag foghlaim Gaeilge le dhá mhí anuas.
285,They left the poor house and went to the cinema.,D'fhág siad teach na mbocht agus chuaigh siad go dtí an phictiúrlann.
286,I will put the book in soon.,Cuirfidh mé isteach ar an leabhar go luath.
287,He was watching TV but he got tired.,Bhí sé ag féachaint ar an teilifís ach d'éirigh sé as.
288,I have already seen these movies.,Chonaic mé na scannáin seo cheana féin.
289,They were talking about a scheme to travel around Europe.,Bhí siad ag caint faoi scéim chun taisteal timpeall na hEorpa.
290,They will be watching the game on the weekend.,Beidh siad ag féachaint ar an gcluiche ar an deireadh seachtaine.
291,They visited the airport for travel.,Thug siad cuairt ar an t-aerfort le haghaidh taisteal.
292,He was demolishing the house for the past few weeks.,Bhí sé ag scriosadh an tí le cúpla seachtain anuas.
293,They bought tickets for the concert.,Cheannaigh siad ticéid don cheolchoirm.
294,I will go to the shop soon.,Rachaidh mé go dtí an siopa ar ball.
295,The train will be leaving at 8 o'clock.,Beidh an traein ag fágáil ag a hocht a chlog.
296,They will start the new campaign soon.,Cuirfidh siad tús leis an bhfeachtas nua go luath.
297,I will do extra studying during the holidays.,Déanfaidh mé staidéar breise le linn na laethanta saoire.
298,They will leave the house soon.,Fágfaidh siad an teach go luath.
299,I will write a letter to my friend in the winter.,Scriobhfaidh mé litir chuig mo chara sa gheimhreadh.
300,The weather will be beautiful tomorrow.,Beidh an aimsir go hálainn amárach.
301,I will be buying tickets for the theater next week.,Beidh mé ag ceannach ticéid don amharclann an tseachtain seo chugainn.
302,They will do a couple of tests on the new beer.,Déanfaidh siad cúpla tástáil ar an mbeoir nua.
303,They will go for a walk in the park soon.,Rachaidh siad ar shiúlóid sa pháirc go luath.
